plz,name,lat,long,ev_count,population,area
58099,Hagen,51.37133519,7.53261950409,4,26761,16.296843
44534,Lünen,51.6314934273,7.51267420753,3,29426,21.123661
51645,Gummersbach,50.9989729573,7.56183918288,4,18692,27.014341
26489,Ochtersum,53.6102778485,7.52541360016,0,928,10.625546
44267,Dortmund,51.4579490964,7.52426319952,1,15519,10.954175
66851,"Mittelbrunn, Queidersbach u.a.",49.3973795092,7.49640381,0,9534,61.452192
55566,Sobernheim,49.7805490905,7.62330184717,7,8468,83.182826
52531,Übach-Palenberg,50.9268852653,6.10426703799,3,24238,26.126702
47626,Kevelaer-Winnekendonk,51.5936190016,6.31517817659,0,4200,25.408388
41748,Viersen,51.2466575165,6.40643589665,2,17713,22.717167
47804,Krefeld,51.3129003096,6.52359304768,4,18063,13.907906
47829,Krefeld,51.3699253244,6.64128889365,0,23211,14.237136
54533,"Bettenfeld, Niederöfflingen u.a.",50.0534041738,6.71425485118,5,4806,117.431153
66763,Dillingen/Saar,49.3660120769,6.73228898116,7,20259,21.821532
46045,Oberhausen,51.4670366982,6.85933332244,6,28290,3.961001
50767,Köln,51.0028292786,6.8853573964,1,16821,5.882485
54426,Malborn,49.7674851769,7.02571986821,0,4599,98.066363
53518,"Adenau, Kottenborn u.a.",50.3800206489,6.94413500969,5,4706,58.842124
66128,Saarbrücken,49.2290488579,6.9152420597,1,6295,8.527151
50677,Köln,50.9214860552,6.95048094656,3,12923,1.063562
45147,Essen,51.4396607191,6.98399279962,13,23350,2.62508
42489,Wülfrath,51.2913878424,7.03583542666,3,21204,32.592109
45897,Gelsenkirchen,51.5659188083,7.07287261005,3,20107,9.078502
51375,Leverkusen,51.031563663,7.05802657756,0,25396,10.441008
54411,"Deuselbach, Hermeskeil, Rorodt",49.657258842,6.9472897871,8,6144,38.54887
67678,Mehlingen,49.4887896826,7.84754016216,0,3785,17.852482
56424,"Mogendorf, Ebernhahn, Staudt u.a.",50.4906112758,7.74937514198,1,4919,15.37706
67727,Lohnsfeld,49.5471186675,7.84854817406,0,935,6.87009
79110,Freiburg im Breisgau,48.019882229,7.81051644532,5,22057,6.150854
49632,Essen (Oldenburg),52.7265922455,7.96247558165,3,8314,98.102227
56368,Katzenelnbogen,50.2703577811,7.95476077386,0,4207,32.29837
79713,Bad Säckingen,47.5681040201,7.95656651646,7,16221,25.391377
67808,"Steinbach, Weitersweiler, Bennhausen, Mörsfeld, Würzweiler, Ruppertsecken u.a.",49.7392165098,7.92962984295,0,4513,58.815783
79868,Feldberg,47.8648725037,8.06750575944,3,1745,25.133608
67316,Carlsberg,49.4902037584,8.03243874894,0,3466,15.713977
55237,Flonheim,49.7872787069,8.04658568106,0,4092,24.087408
65558,Burgschwalbach,50.3945366259,8.00784565608,1,10182,76.560467
79263,Simonswald,48.0875195476,8.08867228736,1,2999,71.875784
79874,Breitnau,47.9397590364,8.08697000393,2,1647,40.352047
76872,Steinweiler,49.0925385284,8.13745008229,0,6960,41.293822
